name	county	type	wikipedia_link
20-21 Visual Arts Centre	in_Lincolnshire	Arts	
50 and 61 Squadron Museum	in_Lincolnshire	Other	/wiki/RAF_Skellingthorpe#50_and_61_Squadron_Museum
Alford Manor House	in_Lincolnshire	Historic	/wiki/Alford_Manor_House
Anderby Drainage Museum	in_Lincolnshire	Other	
Ayscoughfee Hall Museum	in_Lincolnshire	Historic	/wiki/Ayscoughfee_Hall
Battle of Britain Memorial Flight Visitor Centre	in_Lincolnshire	Transport	/wiki/Battle_of_Britain_Memorial_Flight
Baysgarth House Museum	in_Lincolnshire	Local	/wiki/Baysgarth_House_Museum
Belton House	in_Lincolnshire	Historic	/wiki/Belton_House
Boston Guildhall	in_Lincolnshire	Local	/wiki/Boston_Guildhall
Bourne Heritage Centre	in_Lincolnshire	Local	/wiki/Bourne_Civic_Society#Bourne_Heritage_Centre_.28Baldock.27s_Mill.29
Browne's Hospital	in_Lincolnshire	Historic	/wiki/Browne%27s_Hospital,_Stamford
Bubble Car Museum	in_Lincolnshire	Transport	/w/index.php?title=Bubble_Car_Museum&action=edit&redlink=1
Burgh le Marsh Heritage Centre	in_Lincolnshire	Industrial	
Burgh Museum	in_Lincolnshire	Local	
Burton Fen Collection	in_Lincolnshire	Other	
Caistor Arts & Heritage Centre	in_Lincolnshire	Local	
Chain Bridge Forge	in_Lincolnshire	Other	
Cleethorpes Discovery Centre	in_Lincolnshire	Arts	
Cogglesford Mill	in_Lincolnshire	Industrial	/wiki/Cogglesford_Mill
The Collection	in_Lincolnshire	Multiple	/wiki/The_Collection_(Lincolnshire)
Cottage Museum	in_Lincolnshire	Local	
Cranwell Aviation Heritage Centre	in_Lincolnshire	Transport	/w/index.php?title=Cranwell_Aviation_Heritage_Centre&action=edit&redlink=1
Discover Stamford	in_Lincolnshire	Local	
Doddington Hall & Gardens	in_Lincolnshire	Historic	/wiki/Doddington_Hall,_Lincolnshire
Dogdyke Steam Drainage Station	in_Lincolnshire	Other	/wiki/Dogdyke_Engine
